Treatment,Village,Yield
Blitox,I,678.2
Dithane,I,703.2
Brestan,I,736.8
Control,I,556.4
Blitox,II,510.2
Dithane,II,689.5
Brestan,II,574.2
Control,II,510.2
Blitox,III,531.2
Dithane,III,611.2
Brestan,III,573.7
Control,III,500
